cpu_code,brand,series,name,n_cores,socket
1,AMD,Amd 2650,Amd Sempron 2650,2,AMD Socket AM1
2,AMD,Amd 3850,Amd Sempron 3850,4,AMD Socket AM1
3,AMD,Amd 5150,Amd Athlon 5150,4,AMD Socket AM1
4,AMD,Amd 5350,Amd Athlon 5350,4,AMD Socket AM1
5,AMD,Amd A-Series,Amd A10 Pro-7850B,4,AMD Socket FM2+
6,AMD,Amd A-Series,Amd A10-5700,4,AMD Socket FM2
7,AMD,Amd A-Series,Amd A10-5800K,4,AMD Socket FM2
8,AMD,Amd A-Series,Amd A10-6700,4,AMD Socket FM2
9,AMD,Amd A-Series,Amd A10-6700T,4,AMD Socket FM2
10,AMD,Amd A-Series,Amd A10-6790B,4,AMD Socket FM2
11,AMD,Amd A-Series,Amd A10-6790K,4,AMD Socket FM2
12,AMD,Amd A-Series,Amd A10-6800B,4,AMD Socket FM2
13,AMD,Amd A-Series,Amd A10-6800K,4,AMD Socket FM2
14,AMD,Amd A-Series,Amd A10-7700K,4,AMD Socket FM2+
15,AMD,Amd A-Series,Amd A10-7800,4,AMD Socket FM2+
16,AMD,Amd A-Series,Amd A10-7850K,4,AMD Socket FM2+
17,AMD,Amd A-Series,Amd A10-7860K,4,AMD Socket FM2+
18,AMD,Amd A-Series,Amd A10-7870K,4,AMD Socket FM2+
19,AMD,Amd A-Series,Amd A10-7890K,4,AMD Socket FM2+
20,AMD,Amd A-Series,Amd A10-9700,4,AMD Socket AM4
21,AMD,Amd A-Series,Amd A10-9700E,4,AMD Socket AM4
22,AMD,Amd A-Series,Amd A12-9800,4,AMD Socket AM4
23,AMD,Amd A-Series,Amd A12-9800E,4,AMD Socket AM4
24,AMD,Amd A-Series,Amd A4-3300,2,AMD Socket FM1
25,AMD,Amd A-Series,Amd A4-3400,2,AMD Socket FM1
26,AMD,Amd A-Series,Amd A4-3420,2,AMD Socket FM1
27,AMD,Amd A-Series,Amd A4-3450,2,AMD Socket FM1
28,AMD,Amd A-Series,Amd A4-4000,2,AMD Socket AM1
29,AMD,Amd A-Series,Amd A4-4000,2,AMD Socket FM2
30,AMD,Amd A-Series,Amd A4-4020,2,AMD Socket AM1
31,AMD,Amd A-Series,Amd A4-4020,2,AMD Socket FM2
32,AMD,Amd A-Series,Amd A4-5300,2,AMD Socket AM1
33,AMD,Amd A-Series,Amd A4-5300,2,AMD Socket FM2
34,AMD,Amd A-Series,Amd A4-6300,2,AMD Socket AM1
35,AMD,Amd A-Series,Amd A4-6300,2,AMD Socket FM2
36,AMD,Amd A-Series,Amd A4-6300B,2,AMD Socket FM2
37,AMD,Amd A-Series,Amd A4-6320,2,AMD Socket AM1
38,AMD,Amd A-Series,Amd A4-6320,2,AMD Socket FM2
39,AMD,Amd A-Series,Amd A4-7300,2,AMD Socket FM2
40,AMD,Amd A-Series,Amd A6-3500,3,AMD Socket FM1
41,AMD,Amd A-Series,Amd A6-3600,4,AMD Socket FM1
42,AMD,Amd A-Series,Amd A6-3650,4,AMD Socket FM1
43,AMD,Amd A-Series,Amd A6-3670K,4,AMD Socket FM1
44,AMD,Amd A-Series,Amd A6-5400K,2,AMD Socket FM2
45,AMD,Amd A-Series,Amd A6-6400K,2,AMD Socket FM2
46,AMD,Amd A-Series,Amd A6-6420K,2,AMD Socket FM2
47,AMD,Amd A-Series,Amd A6-7400K,2,AMD Socket FM2+
48,AMD,Amd A-Series,Amd A6-7470K,2,AMD Socket FM2+
49,AMD,Amd A-Series,Amd A6-9500,2,AMD Socket AM4
50,AMD,Amd A-Series,Amd A6-9500E,2,AMD Socket AM4
