gpu_code,processor,processor_manufacturer,brand,memory,memory_type
1,C420,AMD,Matrox,2.0,GDDR5
2,C680,AMD,Matrox,2.0,GDDR5
3,C680,AMD,Matrox,4.0,GDDR5
4,C900,AMD,Matrox,4.0,GDDR5
5,FireGL V3300,AMD,AMD,0.125,GDDR2
6,FireGL V3600,AMD,AMD,0.25,GDDR2
7,FireGL V7350,AMD,AMD,1.0,GDDR3
8,FireGL V7600,AMD,AMD,0.5,GDDR2
9,FireMV 2200,AMD,AMD,0.125,GDDR
10,FireMV 2250,AMD,AMD,0.25,GDDR2
11,FireMV 2260,AMD,AMD,0.25,GDDR2
12,FirePro 2270,AMD,AMD,0.5,GDDR3
13,FirePro 2270,AMD,AMD,1.0,GDDR3
14,FirePro 2450,AMD,AMD,0.25,GDDR3
15,FirePro 2450,AMD,AMD,0.5,GDDR3
16,FirePro 2460,AMD,AMD,0.5,GDDR3
17,FirePro 2460,AMD,AMD,0.5,GDDR5
18,FirePro R5000,AMD,AMD,2.0,GDDR5
19,FirePro RG220,AMD,AMD,0.5,GDDR3
20,FirePro RG220A,AMD,AMD,0.5,GDDR5
21,FirePro S10000,AMD,AMD,6.0,GDDR5
22,FirePro S10000,AMD,Club 3D,2.0,GDDR5
23,FirePro S10000,AMD,Sapphire,6.0,GDDR5
24,FirePro S7000,AMD,AMD,4.0,GDDR5
25,FirePro S7000,AMD,AMD,8.0,GDDR5
26,FirePro S7000,AMD,AMD,16.0,GDDR5
27,FirePro S7150,AMD,AMD,8.0,GDDR5
28,FirePro S7150,AMD,AMD,16.0,GDDR5
29,FirePro S7150,AMD,Club 3D,2.0,GDDR5
30,FirePro S7150,AMD,PowerColor,2.0,GDDR5
31,FirePro S7150,AMD,XFX,2.0,GDDR5
32,FirePro S9000,AMD,AMD,6.0,GDDR5
33,FirePro S9000,AMD,AMD,12.0,GDDR5
34,FirePro S9000,AMD,AMD,16.0,GDDR5
35,FirePro S9000,AMD,AMD,32.0,GDDR5
