ram_code,brand,name,memory,memory_type,clock
2,ADATA,Adata,1.0,DDR,333
1,ADATA,Adata,0.5,DDR,400
3,ADATA,Adata,1.0,DDR,400
4,ADATA,Adata,2.0,DDR,400
5,ADATA,Adata,1.0,DDR2,667
7,ADATA,Adata,2.0,DDR2,667
6,ADATA,Adata,1.0,DDR2,800
8,ADATA,Adata,2.0,DDR2,800
9,ADATA,Adata,4.0,DDR2,800
10,ADATA,Adata,2.0,DDR3,1066
11,ADATA,Adata,2.0,DDR3,1333
12,ADATA,Adata,4.0,DDR3,1333
14,ADATA,Adata,8.0,DDR3,1333
13,ADATA,Adata,4.0,DDR3,1600
15,ADATA,Adata,8.0,DDR3,1600
22,ADATA,Adata,16.0,DDR4,2133
16,ADATA,Adata,8.0,DDR4,2400
27,ADATA,Adata,32.0,DDR4,2400
17,ADATA,Adata,8.0,DDR4,2666
18,ADATA,Adata,8.0,DDR4,3000
23,ADATA,Adata,16.0,DDR4,3000
28,ADATA,Adata,32.0,DDR4,3000
19,ADATA,Adata,8.0,DDR4,3200
24,ADATA,Adata,16.0,DDR4,3200
20,ADATA,Adata,8.0,DDR4,3300
25,ADATA,Adata,16.0,DDR4,3300
21,ADATA,Adata,8.0,DDR4,3333
26,ADATA,Adata,16.0,DDR4,3333
31,ADATA,Adata Gaming,4.0,DDR3,1333
29,ADATA,Adata Gaming,1.0,DDR3,1600
30,ADATA,Adata Gaming,2.0,DDR3,1600
32,ADATA,Adata Gaming,4.0,DDR3,1600
33,ADATA,Adata Gaming,6.0,DDR3,1600
34,ADATA,Adata Performance Value,2.0,DDR3,1600
35,ADATA,Adata Performance Value,4.0,DDR3,1600
36,ADATA,Adata Performance Value,8.0,DDR3,1600
37,ADATA,Adata Plus,4.0,DDR3,1600
38,ADATA,Adata Plus,6.0,DDR3,1600
39,ADATA,Adata Premier,2.0,DDR2,800
40,ADATA,Adata Premier,4.0,DDR2,800
41,ADATA,Adata Premier,2.0,DDR3,1333
43,ADATA,Adata Premier,4.0,DDR3,1333
45,ADATA,Adata Premier,8.0,DDR3,1333
47,ADATA,Adata Premier,16.0,DDR3,1333
42,ADATA,Adata Premier,2.0,DDR3,1600
44,ADATA,Adata Premier,4.0,DDR3,1600
46,ADATA,Adata Premier,8.0,DDR3,1600
48,ADATA,Adata Premier,16.0,DDR3,1600
49,ADATA,Adata Premier,4.0,DDR3L,1600
50,ADATA,Adata Premier,8.0,DDR3L,1600
51,ADATA,Adata Premier,4.0,DDR4,2133
53,ADATA,Adata Premier,8.0,DDR4,2133
55,ADATA,Adata Premier,16.0,DDR4,2133
57,ADATA,Adata Premier,32.0,DDR4,2133
52,ADATA,Adata Premier,4.0,DDR4,2400
54,ADATA,Adata Premier,8.0,DDR4,2400
56,ADATA,Adata Premier,16.0,DDR4,2400
58,ADATA,Adata Premier,32.0,DDR4,2400
59,ADATA,Adata Supreme,2.0,DDR2,800
60,ADATA,Adata Supreme,4.0,DDR3,1333
61,ADATA,Adata Supreme,8.0,DDR3,1333
62,ADATA,Adata Value,1.0,DDR2,800
63,ADATA,Adata Value,4.0,DDR2,800
64,ADATA,Adata Value,2.0,DDR3,1333
65,ADATA,Adata Value,4.0,DDR3,1333
67,ADATA,Adata Value,8.0,DDR3,1333
66,ADATA,Adata Value,4.0,DDR3,1600
68,ADATA,Adata Value,8.0,DDR3,1600
69,ADATA,Adata Value,16.0,DDR3,1600
70,ADATA,Adata Value,4.0,DDR3L,1600
71,ADATA,Adata Xpg Dazzle,8.0,DDR4,2400
74,ADATA,Adata Xpg Dazzle,16.0,DDR4,2400
77,ADATA,Adata Xpg Dazzle,32.0,DDR4,2400
81,ADATA,Adata Xpg Dazzle,64.0,DDR4,2400
72,ADATA,Adata Xpg Dazzle,8.0,DDR4,2800
75,ADATA,Adata Xpg Dazzle,16.0,DDR4,2800
78,ADATA,Adata Xpg Dazzle,32.0,DDR4,2800
73,ADATA,Adata Xpg Dazzle,8.0,DDR4,3000
76,ADATA,Adata Xpg Dazzle,16.0,DDR4,3000
79,ADATA,Adata Xpg Dazzle,32.0,DDR4,3000
82,ADATA,Adata Xpg Dazzle,64.0,DDR4,3000
80,ADATA,Adata Xpg Dazzle,32.0,DDR4,3200
83,ADATA,Adata Xpg Dazzle,64.0,DDR4,3200
84,ADATA,Adata Xpg Flame,4.0,DDR4,2400
