time_code,year,month,day,week
20130322,2013,3,22,12
20130323,2013,3,23,12
20130326,2013,3,26,13
20130327,2013,3,27,13
20130328,2013,3,28,13
20130329,2013,3,29,13
20130330,2013,3,30,13
20130331,2013,3,31,13
20130401,2013,4,1,14
20130402,2013,4,2,14
20130403,2013,4,3,14
20130404,2013,4,4,14
20130405,2013,4,5,14
20130406,2013,4,6,14
20130407,2013,4,7,14
20130408,2013,4,8,15
20130409,2013,4,9,15
20130410,2013,4,10,15
20130411,2013,4,11,15
20130412,2013,4,12,15
20130413,2013,4,13,15
20130414,2013,4,14,15
20130415,2013,4,15,16
20130416,2013,4,16,16
20130417,2013,4,17,16
20130418,2013,4,18,16
20130419,2013,4,19,16
20130420,2013,4,20,16
20130421,2013,4,21,16
20130422,2013,4,22,17
20130423,2013,4,23,17
20130424,2013,4,24,17
20130425,2013,4,25,17
20130426,2013,4,26,17
20130427,2013,4,27,17
20130428,2013,4,28,17
20130429,2013,4,29,18
20130430,2013,4,30,18
20130501,2013,5,1,18
20130502,2013,5,2,18
20130503,2013,5,3,18
20130504,2013,5,4,18
20130505,2013,5,5,18
20130506,2013,5,6,19
20130507,2013,5,7,19
20130508,2013,5,8,19
20130509,2013,5,9,19
20130510,2013,5,10,19
20130511,2013,5,11,19
20130512,2013,5,12,19
20130513,2013,5,13,20
20130514,2013,5,14,20
20130515,2013,5,15,20
20130516,2013,5,16,20
20130517,2013,5,17,20
20130518,2013,5,18,20
20130519,2013,5,19,20
20130520,2013,5,20,21
20130521,2013,5,21,21
20130522,2013,5,22,21
20130523,2013,5,23,21
20130524,2013,5,24,21
20130525,2013,5,25,21
20130526,2013,5,26,21
20130527,2013,5,27,22
20130528,2013,5,28,22
20130529,2013,5,29,22
20130530,2013,5,30,22
20130531,2013,5,31,22
20130601,2013,6,1,22
20130602,2013,6,2,22
20130603,2013,6,3,23
20130604,2013,6,4,23
20130605,2013,6,5,23
20130606,2013,6,6,23
20130607,2013,6,7,23
20130608,2013,6,8,23
20130609,2013,6,9,23
20130610,2013,6,10,24
20130611,2013,6,11,24
20130612,2013,6,12,24
20130613,2013,6,13,24
20130614,2013,6,14,24
20130615,2013,6,15,24
20130616,2013,6,16,24
20130617,2013,6,17,25
20130618,2013,6,18,25
20130619,2013,6,19,25
20130620,2013,6,20,25
20130621,2013,6,21,25
20130622,2013,6,22,25
20130623,2013,6,23,25
20130624,2013,6,24,26
20130625,2013,6,25,26
20130626,2013,6,26,26
20130627,2013,6,27,26
20130628,2013,6,28,26
20130629,2013,6,29,26
20130630,2013,6,30,26
20130701,2013,7,1,27
20130702,2013,7,2,27
20130703,2013,7,3,27
20130704,2013,7,4,27
20130705,2013,7,5,27
20130706,2013,7,6,27
20130707,2013,7,7,27
20130708,2013,7,8,28
20130709,2013,7,9,28
20130710,2013,7,10,28
20130711,2013,7,11,28
20130712,2013,7,12,28
20130713,2013,7,13,28
20130714,2013,7,14,28
20130715,2013,7,15,29
20130716,2013,7,16,29
20130717,2013,7,17,29
20130718,2013,7,18,29
20130719,2013,7,19,29
20130720,2013,7,20,29
20130721,2013,7,21,29
20130722,2013,7,22,30
20130723,2013,7,23,30
20130724,2013,7,24,30
20130725,2013,7,25,30
20130726,2013,7,26,30
20130727,2013,7,27,30
20130728,2013,7,28,30
20130729,2013,7,29,31
20130730,2013,7,30,31
20130731,2013,7,31,31
20130801,2013,8,1,31
20130802,2013,8,2,31
20130803,2013,8,3,31
20130804,2013,8,4,31
20130805,2013,8,5,32
20130806,2013,8,6,32
20130807,2013,8,7,32
20130808,2013,8,8,32
20130809,2013,8,9,32
20130810,2013,8,10,32
20130811,2013,8,11,32
20130812,2013,8,12,33
20130813,2013,8,13,33
20130814,2013,8,14,33
20130815,2013,8,15,33
20130816,2013,8,16,33
20130817,2013,8,17,33
20130818,2013,8,18,33
20130819,2013,8,19,34
20130820,2013,8,20,34
20130821,2013,8,21,34
20130822,2013,8,22,34
20130823,2013,8,23,34
20130824,2013,8,24,34
20130825,2013,8,25,34
20130826,2013,8,26,35
20130827,2013,8,27,35
20130828,2013,8,28,35
20130829,2013,8,29,35
20130830,2013,8,30,35
20130831,2013,8,31,35
20130901,2013,9,1,35
20130902,2013,9,2,36
20130903,2013,9,3,36
20130904,2013,9,4,36
20130905,2013,9,5,36
20130906,2013,9,6,36
20130907,2013,9,7,36
20130908,2013,9,8,36
20130909,2013,9,9,37
20130910,2013,9,10,37
20130911,2013,9,11,37
20130912,2013,9,12,37
20130913,2013,9,13,37
20130914,2013,9,14,37
20130915,2013,9,15,37
20130916,2013,9,16,38
20130917,2013,9,17,38
20130918,2013,9,18,38
20130919,2013,9,19,38
20130920,2013,9,20,38
20130921,2013,9,21,38
20130922,2013,9,22,38
20130923,2013,9,23,39
20130924,2013,9,24,39
20130925,2013,9,25,39
20130926,2013,9,26,39
20130927,2013,9,27,39
20130928,2013,9,28,39
20130929,2013,9,29,39
20130930,2013,9,30,40
20131001,2013,10,1,40
20131002,2013,10,2,40
20131003,2013,10,3,40
20131004,2013,10,4,40
20131005,2013,10,5,40
20131006,2013,10,6,40
20131007,2013,10,7,41
20131008,2013,10,8,41
20131009,2013,10,9,41
20131010,2013,10,10,41
20131011,2013,10,11,41
20131012,2013,10,12,41
20131013,2013,10,13,41
20131014,2013,10,14,42
20131015,2013,10,15,42
20131016,2013,10,16,42
20131017,2013,10,17,42
20131018,2013,10,18,42
20131019,2013,10,19,42
20131020,2013,10,20,42
20131021,2013,10,21,43
20131022,2013,10,22,43
20131023,2013,10,23,43
20131024,2013,10,24,43
20131025,2013,10,25,43
20131026,2013,10,26,43
20131027,2013,10,27,43
20131028,2013,10,28,44
20131029,2013,10,29,44
20131030,2013,10,30,44
20131031,2013,10,31,44
20131101,2013,11,1,44
20131102,2013,11,2,44
20131103,2013,11,3,44
20131104,2013,11,4,45
20131105,2013,11,5,45
20131106,2013,11,6,45
20131107,2013,11,7,45
20131108,2013,11,8,45
20131109,2013,11,9,45
20131110,2013,11,10,45
20131111,2013,11,11,46
20131112,2013,11,12,46
20131113,2013,11,13,46
20131114,2013,11,14,46
20131115,2013,11,15,46
20131116,2013,11,16,46
20131117,2013,11,17,46
20131118,2013,11,18,47
20131119,2013,11,19,47
20131120,2013,11,20,47
20131121,2013,11,21,47
20131122,2013,11,22,47
20131123,2013,11,23,47
20131124,2013,11,24,47
20131125,2013,11,25,48
20131126,2013,11,26,48
20131127,2013,11,27,48
20131128,2013,11,28,48
20131129,2013,11,29,48
20131130,2013,11,30,48
20131201,2013,12,1,48
20131202,2013,12,2,49
20131203,2013,12,3,49
20131204,2013,12,4,49
20131205,2013,12,5,49
20131206,2013,12,6,49
20131207,2013,12,7,49
20131208,2013,12,8,49
20131209,2013,12,9,50
20131210,2013,12,10,50
20131211,2013,12,11,50
20131212,2013,12,12,50
20131213,2013,12,13,50
20131214,2013,12,14,50
20131215,2013,12,15,50
20131216,2013,12,16,51
20131217,2013,12,17,51
20131218,2013,12,18,51
20131219,2013,12,19,51
20131220,2013,12,20,51
20131221,2013,12,21,51
20131222,2013,12,22,51
20131223,2013,12,23,52
20131224,2013,12,24,52
20131225,2013,12,25,52
20131226,2013,12,26,52
20131227,2013,12,27,52
20131228,2013,12,28,52
20131229,2013,12,29,52
20131230,2013,12,30,53
20131231,2013,12,31,53
20140101,2014,1,1,1
20140102,2014,1,2,1
20140103,2014,1,3,1
20140104,2014,1,4,1
20140105,2014,1,5,1
20140106,2014,1,6,2
20140107,2014,1,7,2
20140108,2014,1,8,2
20140109,2014,1,9,2
20140110,2014,1,10,2
20140111,2014,1,11,2
20140112,2014,1,12,2
20140113,2014,1,13,3
20140114,2014,1,14,3
20140115,2014,1,15,3
20140116,2014,1,16,3
20140117,2014,1,17,3
20140118,2014,1,18,3
20140119,2014,1,19,3
20140120,2014,1,20,4
20140121,2014,1,21,4
20140122,2014,1,22,4
20140123,2014,1,23,4
20140124,2014,1,24,4
20140125,2014,1,25,4
20140126,2014,1,26,4
20140127,2014,1,27,5
20140128,2014,1,28,5
20140129,2014,1,29,5
20140130,2014,1,30,5
20140131,2014,1,31,5
20140201,2014,2,1,5
20140202,2014,2,2,5
20140203,2014,2,3,6
20140204,2014,2,4,6
20140205,2014,2,5,6
20140206,2014,2,6,6
20140207,2014,2,7,6
20140208,2014,2,8,6
20140209,2014,2,9,6
20140210,2014,2,10,7
20140211,2014,2,11,7
20140212,2014,2,12,7
20140213,2014,2,13,7
20140214,2014,2,14,7
20140215,2014,2,15,7
20140216,2014,2,16,7
20140217,2014,2,17,8
20140218,2014,2,18,8
20140219,2014,2,19,8
20140220,2014,2,20,8
20140221,2014,2,21,8
20140222,2014,2,22,8
20140223,2014,2,23,8
20140224,2014,2,24,9
20140225,2014,2,25,9
20140226,2014,2,26,9
