year,brand,Total_sales
2013,PNY,9418518.6821886059
2013,AMD,6478659.8628542516
2013,Palit,408744.97357193613
2013,Sapphire,313561.00569892803
2013,Sparkle,253625.33952487516
2013,MSI,213167.98333927029
2013,Asus,174401.31316924267
2013,EVGA,123842.26073536459
2013,Inno3D,112481.07415190028
2013,Club 3D,109505.81014898239
2013,Gainward,106747.15657335802
2013,Point of View,104637.80686358587
2013,PowerColor,89469.617999720111
2013,XFX,89162.782745533768
2013,Gigabyte,84332.907072812828
2013,Zotac,61684.681005641694
2013,Matrox,36165.115013851915
2013,VTX3D,21794.647161865389
2013,HIS,6934.3940718425029
2014,PNY,12202572.658420455
2014,AMD,9458667.1346032564
2014,PowerColor,984874.66383895802
2014,Asus,786246.48315387266
2014,Sapphire,753892.83919317508
2014,Palit,717838.88547599956
2014,MSI,631955.70985257195
2014,EVGA,445977.14325423702
2014,Gigabyte,420487.94570557674
2014,Sparkle,321237.83656077873
2014,Inno3D,307326.41680148337
2014,Gainward,296633.24514293013
2014,Club 3D,198358.65488164476
2014,XFX,195407.23422389061
2014,Matrox,173095.89152641493
2014,Zotac,140344.26512668244
2014,Point of View,130408.06339249155
2014,KFA2,59041.187606955529
2014,VTX3D,28766.83195138958
2014,HIS,24953.694399895867
2015,PNY,17126318.6146244
2015,AMD,10612014.341602432
2015,Asus,2469930.8210746893
2015,Gigabyte,2323137.474479204
2015,MSI,1896527.0217101302
2015,EVGA,1465414.9077270995
2015,Palit,1395073.6208356691
2015,PowerColor,1331606.0147714077
2015,Sapphire,1247140.3700507903
2015,Zotac,1227992.1635234512
2015,XFX,897037.36682907364
2015,Gainward,894384.48010969989
2015,Inno3D,881987.9693475673
2015,Matrox,651731.48620032857
2015,KFA2,405761.20148948993
2015,Sparkle,280055.6405735265
2015,Club 3D,261520.43537077378
2015,Point of View,108878.67733179977
2015,GALAX,93022.799074317707
2015,VTX3D,75273.042288768891
2015,HIS,29972.712425175883
2016,PNY,39321079.985707603
2016,AMD,18203763.925175261
2016,Gigabyte,11920984.795416825
2016,Asus,11423800.452097852
2016,MSI,8581923.2745858524
2016,EVGA,8214595.83897465
2016,Zotac,4998241.1143541448
2016,XFX,4672707.645069805
2016,Sapphire,3737077.218418567
2016,PowerColor,2849293.8905929825
2016,Palit,2542773.6870754329
2016,Inno3D,2073108.1702604904
2016,Matrox,1803790.6521980884
2016,Gainward,1568695.2673893003
2016,KFA2,1266638.185937535
2016,VisionTek,664971.29370512615
2016,Club 3D,524453.42116047803
2016,HP,383460.97621842363
2016,Sparkle,278870.1545141738
2016,GALAX,237089.76161185041
2016,Manli,201644.6760773274
2016,HIS,155303.27793898215
2016,VTX3D,144423.88284719485
2016,Point of View,108959.6007833426
2016,Jaton,25405.914701118385
2016,NVidia,21036.450000000008
2016,Corsair,10650.6252564803
2016,OcUK,6893.2931334455998
2016,Diamond,6000.7118089955002
2016,Aorus,1856.8803449596003
2016,Lenovo,1647.2448282616999
2016,Dell,1326.1700000000001
2017,PNY,54737700.206618711
2017,AMD,25562446.934171315
2017,Gigabyte,15699997.639632806
2017,Asus,14118711.605322013
2017,EVGA,13078061.118063932
2017,MSI,13055703.684758091
2017,Zotac,7704579.56471611
2017,Sapphire,6361781.5884118872
2017,Aorus,5844446.7699538823
2017,Palit,4127766.925819491
2017,XFX,3247290.1602093428
2017,Inno3D,2762409.0886900225
2017,PowerColor,2382681.7415635614
2017,Gainward,2219291.4086617446
2017,KFA2,2101727.7478124243
2017,Matrox,1734328.1967153098
2017,Manli,715880.06723956496
2017,GALAX,387976.18495498132
2017,VisionTek,387453.54708924168
2017,HP,310797.82814999303
2017,Club 3D,293983.18658715917
2017,Sparkle,272603.74219952343
2017,HIS,241471.53138124166
2017,VTX3D,117868.79599065192
2017,Point of View,108533.26558209831
2017,Colorful iGame,75746.818919034573
2017,NVidia,55119.109638599235
2017,Diamond,28162.372753065214
2017,Corsair,28034.480032397401
2017,Jaton,5982.3654722325
2017,BFG Technologies,2528.7453960248004
2017,OcUK,750.81011021070003
2017,Leadtek,524.21331306269997
2017,Albatron,151.2946924483
2018,PNY,15034919.895451361
2018,AMD,7478712.4331680294
2018,Asus,5043022.3284868039
2018,Gigabyte,4886004.2791239899
2018,MSI,4533838.7718724925
2018,EVGA,4286711.6416016081
2018,Zotac,2330625.0970680201
2018,Aorus,2266857.1761799315
2018,Sapphire,1834918.4348728666
2018,Palit,1130025.0470116732
2018,Inno3D,795651.87246376369
2018,XFX,740910.11751972116
2018,PowerColor,682031.07619114313
2018,Gainward,649232.97858694964
2018,KFA2,500881.88257441885
2018,Matrox,400689.51712839626
2018,Manli,168692.090316883
2018,GALAX,120711.81623121821
2018,Colorful iGame,79596.120459359125
2018,VisionTek,71513.821020204676
2018,Club 3D,65129.681174298661
2018,Sparkle,63792.528718366018
2018,NVidia,40030.512882968811
2018,HIS,31925.056163905603
2018,VTX3D,31870.207975703102
2018,Point of View,25122.407021872379
2018,Corsair,20995.774712766201
2018,HP,16827.468130226902
2018,Diamond,12839.829393583002
2018,BFG Technologies,3329.9150082192996
2018,Jaton,2035.7451406215002
2018,OcUK,1264.8274526719999
2018,XpertVision,1041.4885803225
2018,Leadtek,559.58868175300006
2018,Connect3D,385.2960721906
2018,Jetway,216.38977300549999
2018,Albatron,159.4767584205
