cpu_code,Region_Count_Cpu,Region_Count_Germany
28,15,16
30,15,16
31,15,16
32,15,16
34,15,16
37,15,16
38,15,16
42,15,16
46,15,16
52,3,16
53,1,16
54,7,16
55,15,16
56,2,16
68,15,16
69,15,16
79,15,16
102,15,16
104,15,16
119,15,16
120,5,16
126,3,16
131,1,16
132,1,16
135,1,16
136,1,16
137,1,16
144,15,16
152,15,16
153,15,16
155,15,16
156,15,16
157,15,16
162,1,16
163,15,16
164,15,16
166,15,16
168,15,16
170,15,16
172,15,16
188,15,16
189,15,16
190,15,16
191,15,16
192,15,16
193,15,16
194,15,16
195,15,16
196,15,16
197,15,16
198,15,16
199,15,16
202,15,16
207,15,16
209,15,16
218,1,16
230,15,16
242,15,16
244,15,16
251,15,16
252,15,16
254,15,16
255,15,16
257,15,16
259,15,16
262,15,16
265,15,16
266,15,16
267,15,16
270,15,16
273,15,16
274,15,16
282,15,16
284,15,16
290,15,16
298,15,16
300,15,16
303,15,16
305,15,16
307,15,16
309,15,16
310,15,16
311,15,16
313,15,16
314,15,16
315,15,16
318,15,16
320,15,16
322,15,16
323,15,16
324,15,16
327,15,16
329,15,16
344,15,16
345,15,16
351,1,16
353,1,16
356,5,16
361,1,16
367,2,16
368,15,16
378,15,16
422,14,16
428,2,16
430,3,16
436,15,16
445,15,16
446,15,16
