year,country,processor_manufacturer,Total_sales
2013,Germany,NVidia,10177376.614693467
2013,Spain,NVidia,701532.07400181424
2014,Germany,NVidia,14769252.78765543
2014,Spain,NVidia,887454.45408210822
2015,Australia,NVidia,627321.75613674871
2015,Germany,NVidia,19799937.813605364
2015,Spain,NVidia,1336117.5918818722
2015,United Kingdom,NVidia,6402148.3262492316
2016,Australia,NVidia,4330845.7097680336
2016,Belgium,NVidia,391364.73577787547
2016,Canada,NVidia,6762384.9765579719
2016,France,NVidia,885.17317103080018
2016,Germany,NVidia,42229185.875360146
2016,Italy,NVidia,419.09953293429999
2016,New Zeland,NVidia,1806791.2283866205
2016,Spain,NVidia,2626810.3732115072
2016,United Kingdom,NVidia,20020374.999758877
2016,United States of America,NVidia,4859450.2628258793
2017,Australia,NVidia,5992295.3269605497
2017,Belgium,NVidia,461252.27637988236
2017,Canada,NVidia,9739616.8908358067
2017,France,NVidia,359341.51616968651
2017,Germany,NVidia,59063388.637831435
2017,Ireland,NVidia,314288.0189744372
2017,Italy,NVidia,260224.747197196
2017,New Zeland,NVidia,3457949.6812508698
2017,Spain,NVidia,4386119.3987775529
2017,United Kingdom,NVidia,31875801.945620056
2017,United States of America,NVidia,9941150.777682092
2018,Australia,NVidia,2218648.808547867
2018,Belgium,NVidia,307720.32770297298
2018,Canada,NVidia,3818467.363220897
2018,France,NVidia,258893.58532970623
2018,Germany,NVidia,14579652.874707134
2018,Ireland,NVidia,1042959.9820029947
2018,Italy,NVidia,357554.4855671039
2018,New Zeland,NVidia,1153569.2894155132
2018,Spain,NVidia,1233319.1144012141
2018,United Kingdom,NVidia,8870882.7702501118
2018,United States of America,NVidia,3843668.2376086283
